Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2023|ARII|EQUITY|3431000000|232|117981800|1519823500|62900|0|569733900|126444900|0|0|0|2334047000|0|312867600|0|216949700|2119800|0|1520000|0|76134900|609592000
31-MAR-2023|ARKA|EQUITY|2000000000|50|0|1093942500|0|0|893967700|0|0|0|104400|1988014600|0|250100|0|100|5510400|0|4974800|0|0|10735400
31-MAR-2023|ARKO|EQUITY|2928495000|595|0|2316234793|0|0|307691100|276000|1000|372900|0|2624575793|0|295060907|0|8604400|253900|0|0|0|0|303919207
31-MAR-2023|ARMY|EQUITY|9006250000|50|1153053569|2780487175|5215532|0|1551258336|1962289499|279957887|2541349|526952595|8261755942|0|488927400|0|32396000|1064158|1687200|4800|0|0|524079558
31-MAR-2023|ARNA|EQUITY|7341430976|1005|123951997|1113097276|18238600|0|3337944761|142845500|461557|0|0|4736539691|0|309567750|2571900|576325328|37479628|1156146876|42462392|34571100|445766311|2604891285
31-MAR-2023|ARTA|EQUITY|446674175|2030|0|42052500|0|0|397756925|0|0|0|0|439809425|0|0|0|5450|499500|0|6359800|0|0|6864750
31-MAR-2023|ARTI|EQUITY|7840000000|50|74373974|2633606286|739500000|0|3776036700|505451300|27983740|0|38072800|7795024800|0|0|0|100|14590400|0|8340700|0|20669000|43600200
31-MAR-2023|ARTO|EQUITY|13856250000|2420|91920541|7058494192|16674208|634500|1249410767|200399846|5594044|2226600|15|8625354713|3718217|1364019673|17949692|2196709921|1962600|42458478|50709535|503100|1314301571|4992332787
31-MAR-2023|ASBI|EQUITY|348386472|550|7170492|309537614|922|1106|16375744|0|112360|0|0|333198238|0|0|0|1378400|530170|0|1272928|0|0|3181498
31-MAR-2023|ASDM|EQUITY|192000000|930|0|31632800|0|13200|16830560|2000000|0|0|0|50476560|0|0|0|26800|481800|0|2252600|0|0|2761200
31-MAR-2023|ASGR|EQUITY|1348780500|955|1552500|2223360|0|178000|222200128|4315200|128426|500|0|230598114|0|211300|5313000|43742554|631100|4438400|5045585|3453500|4116007|66951446
31-MAR-2023|ASHA|EQUITY|5000000000|99|0|2800791000|0|0|1976326800|0|222300000|0|0|4999417800|0|0|0|216900|365300|0|0|0|0|582200
31-MAR-2023|ASIA|EQUITY|2275009490|0|250000|16422970|0|83334|1022081498|0|3611365|0|22620680|1065069847|0|334|0|1720002|13516173|0|24374843|0|1153364243|1192975595
31-MAR-2023|ASII|EQUITY|40483553140|6000|2558848752|93851640|287851173|2937450|1263997670|1110600014|31881584|49703500|23873430|5423545213|188989298|465822348|1998523672|1602909887|4537030|5193314168|471753893|158059700|2747556751|12831466747
31-MAR-2023|ASJT|EQUITY|1400000000|126|30426303|48114833|1083549171|0|150952724|38311153|42070338|0|6323900|1399748422|0|0|0|28378|2600|0|220600|0|0|251578
31-MAR-2023|ASLC|EQUITY|12746354780|92|523541000|121052000|25846247|0|1619231661|107500000|494053|0|0|2397664961|0|126350424|0|2830300|2238500|0|1020000|0|325033900|457473124
31-MAR-2023|ASMI|EQUITY|8958380460|53|2693479000|2159810600|0|7658500|3688695160|431000|42090400|0|6920800|8599085460|0|8600|0|8634200|21790300|2736100|2620100|0|24535300|60324600
31-MAR-2023|ASPI|EQUITY|683810725|107|0|350703000|0|0|311499425|0|21408900|0|0|683611325|0|150100|0|100|14200|0|30000|0|0|194400
31-MAR-2023|ASRI|EQUITY|19649411888|154|13097300|9647056060|16936500|0|3411843642|152682649|2216000426|9667300|250000|15467533877|0|109762442|79598327|313764693|7474700|287834261|329870098|2427200|68696290|1199428011
31-MAR-2023|ASRM|EQUITY|304283840|1620|15213|33362979|0|0|9533625|0|2931|135|0|42914883|0|206504|0|30618|11075|0|367484|0|2140310|2755991
