Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JUL-2023|AALI|EQUITY|1924688333|7575|64939627|23252124|8135287|49700|157724301|13583401|657297|3778637|4813927|276934301|1717425|6057391|21628038|8160732|1466764|34577268|28675782|46875|11525017|113855292
31-JUL-2023|ABBA|EQUITY|3935892857|84|142266400|2341955605|0|0|940028788|0|482|0|0|3424251275|0|20400|0|45089085|6993600|0|1301900|0|0|53404985
31-JUL-2023|ABDA|EQUITY|620806680|6100|0|40248|0|98|393882|0|7500|506384|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
31-JUL-2023|ABMM|EQUITY|2753165000|3660|3726700|1488360533|0|15000|338833200|408300|825037|0|400300|1832569070|550000|705186336|10951484|16279944|512100|16614834|4694668|5181965|160624599|920595930
31-JUL-2023|ACES|EQUITY|17150000000|720|345844215|326280800|90635511|0|1896466991|447677163|5381592|12437100|4100|3124727472|7590300|317245881|421082129|717792485|9302200|1165790594|265022147|128400|836318392|3740272528
31-JUL-2023|ACST|EQUITY|12675160000|140|0|11199455635|0|0|1435499261|20994000|1210|0|80|12655950186|0|120|0|10312644|3710235|0|5170795|0|16020|19209814
31-JUL-2023|ADCP|EQUITY|22222222200|58|1390000|446779700|6760000|0|1566673300|911000|1558700|200|189963000|2214035900|0|0|0|5150900|3035400|0|0|0|0|8186300
31-JUL-2023|ADES|EQUITY|589896800|12900|0|30200|58500|350|40984177|0|411|0|0|41073638|0|540211613|198200|6680924|97100|87300|180000|0|345597|547800734
31-JUL-2023|ADHI|EQUITY|8407608979|476|69333539|160368273|109228794|3000000|1977026767|247981784|57488597|28807490|2055147|2655290391|0|29832085|116366107|35194658|5555141|82520998|68688088|0|5377719|343534796
31-JUL-2023|ADMF|EQUITY|1000000000|12100|4429500|660900|106600|920700000|40759200|11047300|185059|0|0|977888559|22100|837231|668639|11060874|471200|955766|4187231|103000|3705400|22011441
31-JUL-2023|ADMG|EQUITY|3889179559|155|1030000|994200200|2290400|0|504133887|83|450027|0|0|1502104597|0|1662400|0|3666147|2737700|0|4323896|0|43|12390186
