Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
28-APR-2023|AALI|EQUITY|1924688333|7725|65281927|21613424|8152187|49700|150696012|17670886|461061|3813637|4783127|272521961|3947025|6073491|24010093|7778009|1324664|35611902|28601781|88875|10831792|118267632
28-APR-2023|ABBA|EQUITY|3935892857|108|154113300|2341134505|11771800|0|920659513|0|457|0|0|3427679575|0|20400|0|41460985|7193400|0|1301900|0|0|49976685
28-APR-2023|ABDA|EQUITY|620806680|6450|0|40248|0|98|393782|0|7500|506484|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
28-APR-2023|ABMM|EQUITY|2753165000|3340|2277600|1501843933|40000|15000|325327400|254800|613132|0|544000|1830915865|269600|708727836|11563657|15890544|427400|16015094|4698868|4429065|160227071|922249135
28-APR-2023|ACES|EQUITY|17150000000|450|411034515|345476200|49040911|529000|2805109991|192709035|55982523|10540100|4100|3870426375|7590300|164635658|651276493|663626351|12369500|727772724|220284628|128400|546889571|2994573625
28-APR-2023|ACST|EQUITY|12675160000|136|0|11198449335|0|0|1432555649|24940400|1222|0|80|12655946686|0|120|0|9476544|4479835|0|5240795|0|16020|19213314
28-APR-2023|ADCP|EQUITY|22222222200|62|1390000|446521000|6760000|0|1569231100|911000|1558700|200|189963000|2216335000|0|0|0|2832800|3054400|0|0|0|0|5887200
28-APR-2023|ADES|EQUITY|589896800|8275|0|28800|58500|350|40798277|0|411|0|0|40886338|0|540411613|198200|6658424|106900|87300|180000|0|345597|547988034
28-APR-2023|ADHI|EQUITY|8407608979|436|64596339|183497873|95187344|3000000|2124619240|123169991|29829353|28987453|2055147|2654942740|0|24999436|105913907|30996912|6356841|80007798|90229834|0|5377719|343882447
28-APR-2023|ADMF|EQUITY|1000000000|10125|4297700|599100|1100|920700000|41232900|10065500|140059|0|0|977036359|22100|648731|668639|11651074|548700|1000766|4204731|103000|4015900|22863641
28-APR-2023|ADMG|EQUITY|3889179559|138|1030000|994367700|2290400|0|504017787|83|450027|0|0|1502155997|0|1662400|0|3614747|2737700|0|4323896|0|43|12338786
28-APR-2023|ADMR|EQUITY|40882331500|1100|919149900|35320377420|109547100|0|1758719400|734376900|12001664|23321800|0|38877494184|26540100|1261817900|13887722|160803860|59755300|22065717|2461906|0|457504811|2004837316
28-APR-2023|ADRO|EQUITY|31985962000|3130|1198713621|16882204753|124418300|7000|6602634636|777454521|111942041|17466700|701527|25715543099|54407838|884863405|1039419451|719191490|10444772|1575321011|409305734|77255400|1500209800|6270418901
28-APR-2023|AGAR|EQUITY|1000000000|250|0|798974800|0|0|200988900|0|0|0|0|999963700|0|200|0|13900|22200|0|0|0|0|36300
28-APR-2023|AGII|EQUITY|3066660000|1910|6408000|1021495429|6371300|0|136029091|30304800|430560|1178700|0|1202217880|0|990180020|20483000|4583200|1246300|2876300|12176600|0|1753700|1033299120
28-APR-2023|AGRO|EQUITY|24740494294|426|27990079|63146107|797392095|21240242086|1987142034|65608560|3490|847800|1010996|24183383247|0|13131654|26873069|20058139|2802762|174147269|60859300|0|1968953|299841146
28-APR-2023|AGRS|EQUITY|27649535711|86|0|369165172|0|20158930|1706853846|0|377|0|1709600|2097887925|0|0|0|4550914|19815644|0|7591842|0|6136453341|6168411741
28-APR-2023|AHAP|EQUITY|4900000000|53|3066343009|163294381|0|0|1400991203|0|504704|0|42|4631133339|64086000|0|0|3865400|195301007|0|1273341|0|55|264525803
28-APR-2023|AIMS|EQUITY|220000000|272|0|180441890|0|0|39367510|0|18000|0|0|219827400|0|0|0|200|2000|0|20400|0|0|22600
28-APR-2023|AISA|EQUITY|9311800000|149|169620583|6996916658|3970400|0|1696997439|7088900|5539425|100|8794665|8888928170|0|320936953|1927300|54306612|10610300|4283300|29632371|0|547494|422244330
28-APR-2023|AKKU|EQUITY|6449463636|50|0|5518816100|0|0|621085936|0|11483800|6700|3191400|6154583936|0|196189000|0|100|1050200|0|2105400|0|95535000|294879700
28-APR-2023|AKPI|EQUITY|612248000|1195|4000|145574873|0|2|28450071|17500|2122|0|0|174048568|0|9600|34|6401|21203|0|136800|0|10300|184338
28-APR-2023|AKRA|EQUITY|20073474600|1620|590731200|2688045300|61351200|5000000|663601960|684888501|28018210|7389600|101800|4729127771|28180830|459929989|824611725|782585026|30788900|1622643017|417895598|33955900|1432126744|5632717729
28-APR-2023|AKSI|EQUITY|720000000|232|0|16069244|0|0|41374156|0|0|0|0|57443400|0|0|0|94800|0|0|300|0|0|95100
28-APR-2023|ALDO|EQUITY|1316856312|690|0|928762366|0|0|387538063|425000|61|0|0|1316725490|0|0|0|102866|27900|0|0|0|56|130822
28-APR-2023|ALKA|EQUITY|507665055|388|0|11021250|0|77500|24040205|0|21200|0|0|35160155|0|0|0|337300|2624023|0|100|0|0|2961423
28-APR-2023|ALMI|EQUITY|3816000000|246|0|96651440|0|0|49118400|0|303000|0|0|146072840|0|0|0|32841800|393900|0|195200|0|0|33430900
28-APR-2023|ALTO|EQUITY|2191870558|50|0|1372038216|0|0|464370424|5900|339001018|0|5979200|2181394758|0|50000|0|7560100|36000|0|2578200|0|0|10224300
28-APR-2023|AMAG|EQUITY|5001552516|380|15463400|119100|210019533|388000000|71390496|0|23887500|0|0|708880029|0|5783100|0|4941200|7758300|2066800|68857000|0|13723000|103129400
28-APR-2023|AMAN|EQUITY|3873500000|222|0|0|0|0|584614800|0|0|0|0|584614800|0|0|0|385000|0|0|200|0|0|385200
28-APR-2023|AMAR|EQUITY|18381094760|300|0|46742372|0|0|544606095|0|200452|0|0|591548919|0|15526832401|2222297|1669262599|5126203|4739588|396730478|0|821275|17605734841
28-APR-2023|AMFG|EQUITY|434000000|5200|23500|13722582|0|0|35600700|180100|35076|0|0|49561958|114800|21806400|162700|1117400|23000|1443500|10245359|76900|235483|35225542
28-APR-2023|AMIN|EQUITY|1080000000|116|0|7700000|0|0|71932200|0|0|0|0|79632200|0|17438300|0|1742400|139166000|0|192800|0|1828300|160367800
28-APR-2023|AMMS|EQUITY|1200027445|53|0|26613900|0|0|212220445|0|0|0|0|238834345|0|0|0|100|1193000|0|0|0|0|1193100
28-APR-2023|AMOR|EQUITY|2222222400|1240|36001900|352336000|0|0|424432900|0|7985700|0|0|820756500|10730454|154200|198200|48871600|1015800|3668600|1847900|0|859146|67345900
28-APR-2023|AMRT|EQUITY|41524501700|2900|511198300|15088533334|36015800|0|2508724634|444458113|197416|3173200|995200|18593295997|181399289|2778736693|996179636|1704057959|459700|3370811778|1618324870|23211800|3738023978|14411205703
28-APR-2023|ANDI|EQUITY|9350000000|50|25543605|797718380|1017800|0|1537938797|1499648561|266804208|2702600|567409200|4698783151|0|0|0|5100|1159949|0|21800|0|0|1186849
28-APR-2023|ANJT|EQUITY|3354175000|695|28606300|55130669|0|45000|249358594|100|0|0|47400|333188063|323100|1215800|1933600|5617700|1593137|3151900|4079700|0|3072000|20986937
28-APR-2023|ANTM|EQUITY|24030764725|2100|1009962499|119044384|99411278|3500012|2847502780|545264517|44461352|16182550|1077956|4686407328|89710101|242382463|779877669|463317349|12997449|1167386733|205852124|8589843|714314308|3684428039
28-APR-2023|APEX|EQUITY|2830004997|140|0|1806424179|0|0|114719601|0|4534|0|0|1921148314|0|573737577|0|257228547|110200|0|66687|0|0|831143011
28-APR-2023|APIC|EQUITY|11766313488|1270|745829200|9228171912|4200000|0|136696168|368973175|604394097|10150000|0|11098414552|8042200|26157235|27116091|444135691|250|65259800|13009200|0|84178469|667898936
28-APR-2023|APII|EQUITY|1075760000|192|0|251500|0|0|55428400|0|0|0|0|55679900|0|295400|0|923800|36759800|0|36164700|0|144788400|218932100
28-APR-2023|APLI|EQUITY|1362671400|322|0|201399300|0|0|560204100|0|165000|0|0|761768400|0|0|0|42600|170400|0|589000|0|0|802000
28-APR-2023|APLN|EQUITY|22699326779|134|5283600|9340858098|2060000|0|3074275416|11097000|92558898|700000|390000|12527223012|672861|13852106|51256450|293661196|7252600|14240400|1656761|14892108|80839285|478323767
28-APR-2023|APOL|EQUITY|16452282461|50|0|649059480|1400000|0|776035251|0|90507820|14086735|575800|1531665086|0|2653784186|0|1180647657|8259700|0|1410334020|0|85088011|5338113574
28-APR-2023|ARCI|EQUITY|24835000000|342|58039300|21058591817|308200|0|608611683|6270700|115746958|0|0|21847568658|0|381515400|0|232474450|6471100|648510|2222248042|0|144073840|2987431342
28-APR-2023|ARGO|EQUITY|335557450|496|45000|36988014|0|0|614250|0|83000|0|0|37730264|0|280|0|5379400|11250|0|5100|0|5720|5401750
28-APR-2023|ARII|EQUITY|3431000000|216|117981800|1519823500|62900|0|569571000|126444900|0|0|0|2333884100|0|312867600|0|217112600|2119800|0|1520000|0|76134900|609754900
28-APR-2023|ARKA|EQUITY|2000000000|50|0|1093942500|0|0|893967700|0|0|0|104400|1988014600|0|250100|0|100|5510400|0|4974800|0|0|10735400
28-APR-2023|ARKO|EQUITY|2928495000|620|0|2316384793|0|0|307802100|276000|1000|372900|0|2624836793|0|295057907|0|6128400|471900|2000000|0|0|0|303658207
