Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
28-FEB-2023|AALI|EQUITY|1924688333|8300|65797871|20800824|8097087|49700|144832649|17929149|480205|3778721|4783127|266549333|3844425|5942691|24749593|8655676|1334464|37873231|31424781|88875|10326524|124240260
28-FEB-2023|ABBA|EQUITY|3935892857|129|167338000|2343268105|13308800|0|904705398|0|472|0|0|3428620775|0|20400|0|40601685|7111500|0|1301900|0|0|49035485
28-FEB-2023|ABDA|EQUITY|620806680|6500|0|40248|0|98|393782|0|7500|506484|20|948132|588313138|0|0|3600|400|0|4400|0|30499400|618820938
28-FEB-2023|ABMM|EQUITY|2753165000|2820|2808400|1501417233|0|15000|324854600|55400|209632|0|454000|1829814265|269600|709787136|11563657|15856044|395300|15634594|4697668|4429065|160717671|923350735
28-FEB-2023|ACES|EQUITY|17150000000|505|623369815|382234900|44931711|0|2506323591|210219180|52682778|10540100|104100|3830406175|7590300|214355658|777373502|517983932|11031200|798471915|210858738|128400|496800180|3034593825
28-FEB-2023|ACST|EQUITY|12675160000|154|0|11198449335|0|0|1428626949|29350000|1222|0|80|12656427586|0|120|0|8985744|4499735|0|5230795|0|16020|18732414
28-FEB-2023|ADCP|EQUITY|22222222200|66|1390000|447596000|6760000|0|1569845400|911000|1558700|200|189963000|2218024300|0|0|0|805700|3392200|0|0|0|0|4197900
28-FEB-2023|ADES|EQUITY|589896800|7075|0|357800|58500|350|40529577|0|411|0|0|40946638|0|540411613|159600|6667124|95400|87300|180000|0|326697|547927734
28-FEB-2023|ADHI|EQUITY|8407608979|442|69354739|183551973|96076344|3000000|2115066320|138124335|29742731|28987451|1040247|2664944140|0|25638636|105913907|19430312|5629741|81235698|90655034|0|5377719|333881047
28-FEB-2023|ADMF|EQUITY|1000000000|9950|4459700|642100|1000|920700000|40952500|9898400|124259|0|0|976777959|22100|480231|668639|12031474|549400|1010766|4204731|103000|4051700|23122041
28-FEB-2023|ADMG|EQUITY|3889179559|143|1030000|994220200|2290400|0|504206287|83|450027|0|0|1502196997|0|1662400|0|3563747|2747700|0|4323896|0|43|12297786
28-FEB-2023|ADMR|EQUITY|40882331500|1300|896905500|34897862720|108808000|0|2027561200|747858000|5081568|18388900|0|38702465888|28511900|1303324650|14920800|162996489|58757400|103449299|6519306|0|501385768|2179865612
28-FEB-2023|ADRO|EQUITY|31985962000|2990|1131031721|16861873253|95387900|7000|6576986286|739518356|122471365|14302100|699527|25542277508|55446885|895051337|1098963268|749143482|10312972|1634596277|383576217|78418300|1538175754|6443684492
28-FEB-2023|AGAR|EQUITY|1000000000|270|0|798974700|0|0|200989800|0|0|0|0|999964500|0|200|0|13100|22200|0|0|0|0|35500
28-FEB-2023|AGII|EQUITY|3066660000|2100|6545600|1662390209|7840100|0|290491291|44196018|310542|1293700|0|2013067460|0|512000|17898300|14167500|16362200|5062300|15957200|0|152490040|222449540
28-FEB-2023|AGRO|EQUITY|24740107814|404|29938422|53033507|801730895|21240242086|2012618066|63579303|3092|722800|1010996|24202879167|0|5570054|26873069|8648639|2787262|173251469|60859300|0|1968953|279958746
28-FEB-2023|AGRS|EQUITY|27649535711|90|0|364245972|0|20158930|1712422294|0|229|0|1709600|2098537025|0|0|0|3076614|20280844|0|7951842|0|6136453341|6167762641
