,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-11-29,AKRADRCN5A,STRUCTURED WARRANT,200000000.0,75,0,0,0,0,84300,0,199915700,0,0,200000000,0,0,0,0,0,0,0,0,0,0
1,2024-12-30,AKRADRCN5A,STRUCTURED WARRANT,200000000.0,57,0,0,0,0,100,0,199999900,0,0,200000000,0,0,0,0,0,0,0,0,0,0
